weight,threshold,accuracy,accusation_error,tps,tns,fps,fns
Exp λ=0.0,0.03803803803803804,0.513943661971831,0.009900990099009901,3549,100,3450,1
Exp λ=0.0,0.03903903903903904,0.5143661971830986,0.009615384615384616,3549,103,3447,1
Exp λ=0.0,0.04004004004004004,0.5145070422535212,0.009523809523809525,3549,104,3446,1
Exp λ=0.0,0.04104104104104104,0.5146478873239436,0.009433962264150943,3549,105,3445,1
Exp λ=0.0,0.04204204204204204,0.5147887323943662,0.009345794392523364,3549,106,3444,1
Exp λ=0.0,0.043043043043043044,0.5150704225352113,0.009174311926605505,3549,108,3442,1
Exp λ=0.0,0.044044044044044044,0.515774647887324,0.017241379310344827,3548,114,3436,2
Exp λ=0.0,0.04504504504504504,0.516056338028169,0.01694915254237288,3548,116,3434,2
Exp λ=0.0,0.04604604604604605,0.5159154929577465,0.025210084033613446,3547,116,3434,3
Exp λ=0.0,0.04704704704704705,0.5166197183098592,0.024193548387096774,3547,121,3429,3
Exp λ=0.0,0.04804804804804805,0.5169014084507042,0.03125,3546,124,3426,4
Exp λ=0.0,0.04904904904904905,0.5171830985915493,0.03076923076923077,3546,126,3424,4
Exp λ=0.0,0.050050050050050046,0.5176056338028169,0.03007518796992481,3546,129,3421,4
Exp λ=0.0,0.05105105105105105,0.518169014084507,0.029197080291970802,3546,133,3417,4
Exp λ=0.0,0.05205205205205205,0.5185915492957747,0.02857142857142857,3546,136,3414,4
Exp λ=0.0,0.05305305305305305,0.5194366197183099,0.0273972602739726,3546,142,3408,4
Exp λ=0.0,0.05405405405405406,0.52,0.02666666666666667,3546,146,3404,4
Exp λ=0.0,0.055055055055055056,0.52,0.02666666666666667,3546,146,3404,4
Exp λ=0.0,0.056056056056056056,0.5204225352112676,0.03225806451612903,3545,150,3400,5
Exp λ=0.0,0.057057057057057055,0.5207042253521127,0.03184713375796178,3545,152,3398,5
Exp λ=0.0,0.058058058058058054,0.5216901408450704,0.03048780487804878,3545,159,3391,5
Exp λ=0.0,0.05905905905905906,0.5222535211267606,0.02976190476190476,3545,163,3387,5
